체크(기본값 F),구분,채권자목록번호,구분번호,채권자명,인격구분,도로명주소1(도로명 건물번호까지),도로명주소2(상세주소),우편번호,휴대전화번호,전화번호,팩스번호,이메일
F,채권자,1,,KB국민은행,법인,서울특별시 영등포구 국제금융로8길 26,국민은행 본점(여의도동),07331,,02-2073-7000,02-2073-8000,
F,채권자,2,,신한은행,법인,서울특별시 중구 세종대로9길 20,신한은행 본점(태평로2가),04513,,02-6360-3000,02-6360-4000,
F,채권자,3,,현대카드 주식회사,법인,서울특별시 영등포구 의사당대로 3,현대카드 본사(여의도동),07335,,02-2167-6000,02-2167-7000,
F,채권자,4,,(주)삼성생명보험,법인,서울특별시 서초구 서초대로74길 11,삼성생명 본관(서초동),06620,,02-2259-4000,02-2259-5000,
F,채권자,5,,NH농협은행,법인,서울특별시 중구 통일로 120,NH농협은행 본점(충정로1가),04517,,02-2080-5114,02-2080-6000,
F,채권자,6,,"우리카드 주식회사",법인,서울특별시 종로구 새문안로 92,광화문 우리카드 본사(신문로1가),03162,,02-2007-5000,02-2007-6000,
F,채권자,7,,현대캐피탈,법인,서울특별시 영등포구 의사당대로 3,현대캐피탈 본사(여의도동),07335,,02-2167-6000,02-2167-8000,
F,채권자,8,,하나저축은행,법인,서울특별시 중구 을지로 35,하나저축은행 본점(을지로2가),04549,,02-2002-1100,02-2002-2200,
F,채권자,9,,서울신용보증재단,권리능력없는법인(비법인),서울특별시 마포구 백범로 23,서울신용보증재단(공덕동),04146,,02-3430-4888,02-3430-4999,
F,채권자,10,,대한민국 국세청,국가,세종특별자치시 노을6로 8-14,국세청(나성동),30128,,044-204-2200,044-204-3000,
F,보증인(대위변제자),10,1,서울지방국세청,국가,서울특별시 종로구 종로5길 86,서울지방국세청(수송동),03150,,02-2114-7000,02-2114-8000,
F,채권자,11,,서울특별시 강남구청,지방자치단체,서울특별시 강남구 학동로 426,강남구청(삼성동),06108,,02-3423-5114,02-3423-5200,
F,채권자,12,,이영수,자연인,경기도 수원시 영통구 광교로 109,101동 302호(이의동),16226,010-2345-6789,,,leeyoung@example.com
F,보증인(대위변제자),12,1,김보증,자연인,경기도 수원시 영통구 광교로 109,101동 302호(이의동),16226,010-3456-7890,,,
F,채권자,13,,메리츠화재해상보험,법인,서울특별시 강남구 강남대로 382,메리츠타워(역삼동),06232,,02-3786-2114,02-3786-3000,
F,채권자,14,,"홈플러스(주)",법인,서울특별시 강남구 테헤란로 504,홈플러스 본사(대치동),06175,,02-2121-8888,02-2121-9999,
F,채권자,15,,광주은행,법인,광주광역시 동구 제봉로 225,광주은행 본점(대인동),61475,,062-239-5000,062-239-6000,
F,채권자,16,,카카오뱅크,법인,경기도 성남시 분당구 판교역로 235,에이치스퀘어 N동(삼평동),13494,,031-8075-1000,031-8075-2000,
F,채권자,17,,토스뱅크,법인,서울특별시 강남구 테헤란로 142,캐피탈타워(역삼동),06236,,02-6250-2000,02-6250-3000,
F,채권자,18,,"하나손해보험",법인,서울특별시 종로구 새문안로 68,흥국생명빌딩(신문로1가),03148,,02-3706-5114,02-3706-6000,
F,채권자,19,,박영희,자연인,부산광역시 해운대구 센텀중앙로 48,201동 1502호(우동),48058,010-5678-1234,,,
F,채권자,20,,"주식회사 러시앤캐시",법인,서울특별시 강남구 테헤란로 151,역삼동 러시앤캐시 본사,06132,,02-2008-0000,02-2008-1111,
